column,delta,r2_in,r2_out,session
signed_vol,0.5,0.4516201773399171,0.38069941201968394,AAPL_2024-06-03
signed_vol,0.75,0.3840987412149771,0.28949166728134335,AAPL_2024-06-03
signed_vol,1.0,0.20363161505623129,0.15880615867561665,AAPL_2024-06-03
ofi_best,0.25,0.47317626766714127,0.29154315050627466,AAPL_2024-06-03
ofi_best,0.5,0.6253841323421285,0.46431294782264254,AAPL_2024-06-03
ofi_best,0.75,0.5970130431519878,0.5890356306052803,AAPL_2024-06-03
ofi_best,1.0,0.36771364919339733,0.509210341970944,AAPL_2024-06-03
signed_vol,0.25,0.4324592307819257,0.3878855007251514,AAPL_2024-08-01
signed_vol,0.5,0.44562670597409415,0.43801690134160753,AAPL_2024-08-01
signed_vol,0.75,0.3699700111992348,0.4292066232373427,AAPL_2024-08-01
signed_vol,1.0,0.230411978634657,0.3454970747848858,AAPL_2024-08-01
ofi_best,0.25,0.5810699991874784,0.5087649766439496,AAPL_2024-08-01
ofi_best,0.5,0.7203677830729653,0.6693848461324271,AAPL_2024-08-01
ofi_best,0.75,0.7381455303564495,0.7747809145843991,AAPL_2024-08-01
ofi_best,1.0,0.5818181681744785,0.7571023591925599,AAPL_2024-08-01
signed_vol,0.25,0.3376263054257912,0.30536930423575814,AAPL_2024-10-01
signed_vol,0.5,0.3761041523481249,0.3027890033553249,AAPL_2024-10-01
signed_vol,0.75,0.31679892771278484,0.25427122962420456,AAPL_2024-10-01
signed_vol,1.0,0.1871091318618101,0.17204654392912633,AAPL_2024-10-01
ofi_best,0.25,0.5285580164352472,0.41222969922120667,AAPL_2024-10-01
ofi_best,0.5,0.66077874124066,0.523092482082055,AAPL_2024-10-01
ofi_best,0.75,0.688257342338698,0.5381796418277142,AAPL_2024-10-01
ofi_best,1.0,0.5708803844635146,0.4320578868658671,AAPL_2024-10-01
