session,side,size_normalisation,size,n,cost_bp,cost_sigma,cost_half_spreads,cost_sd,participating
INTC_2024-12-02,sell,shares,842.5,46216,2.199485983015371,0.0070733686520867926,1.0663880598084858,0.6073046009685142,1.0
INTC_2024-12-02,sell,shares,1061.0,46216,2.254167779660828,0.007249220878115304,1.0930115978050539,0.6993497478483898,1.0
INTC_2024-12-02,sell,shares,1336.0,46216,2.3356606303036096,0.007511295280751682,1.1327204997308478,0.8093491823126563,1.0
INTC_2024-12-02,sell,shares,1786.0,69324,2.503966606402055,0.008052553658612094,1.2149274146897253,0.9789927082015927,1.0
INTC_2024-12-02,sell,shares,2375.5,46216,2.769346364805893,0.00890599345249459,1.3445868182122451,1.1703453492582283,1.0
INTC_2024-12-02,sell,shares,2990.0,46216,3.0835932584659678,0.009916585992658683,1.4980851511518627,1.3351699654061993,1.0
INTC_2024-12-02,sell,shares,3764.5,46216,3.488580102846454,0.011218990859827352,1.6958233910195404,1.5065253542034405,1.0
INTC_2024-12-02,sell,shares,4739.5,46216,3.979890698512597,0.012799005914553298,1.9355909663357243,1.6934816442805316,1.0
INTC_2024-12-02,sell,shares,5966.5,46216,4.570527499112958,0.014698445993915807,2.22361655487693,1.9158514909555793,1.0
INTC_2024-12-02,sell,shares,7510.981304366642,46214,5.28611862044905,0.016999729041162658,2.572407617246634,2.1783278740079277,0.9999567249437424
INTC_2024-12-02,sell,shares,9456.5,46212,6.148388161896294,0.019772717999137556,2.9925177050803167,2.4780706546940463,0.9999134498874849
INTC_2024-12-02,sell,shares,11904.485185585976,46205,7.178596685857298,0.0230857851133495,3.4946303575625897,2.8199319274427475,0.9997619871905834
INTC_2024-12-02,sell,shares,14986.477100394297,46158,8.42572384810346,0.027096444986937033,4.1034315591207635,3.21335802376023,0.9987450233685303
INTC_2024-12-02,sell,shares,18864.543530438576,45830,9.892056364676666,0.031812051513351515,4.821730195226267,3.572321162981347,0.9916479141422884
INTC_2024-12-02,sell,shares,25159.992058774216,65607,11.967423327051481,0.0384862634549586,5.843965378086699,3.9229597828705574,0.9463822052968669
INTC_2024-12-02,sell,shares,33470.481568812385,38169,14.117041040343453,0.04539925979345978,6.900102058494101,4.001967407253096,0.782239916911892
INTC_2024-12-02,sell,shares,52284.31204864423,58712,15.947077942603201,0.05128451014584435,7.772800581764405,4.501682805930205,0.10254505414190372
INTC_2024-12-02,sell,x_over_adv,7.938974521284997e-08,46216,2.0641076289951092,0.006638002838031802,1.0002163752812823,0.25032048774084364,1.0
INTC_2024-12-02,sell,x_over_adv,1.8524273882998325e-07,46216,2.064989240512171,0.006640838029215677,1.0006491258438557,0.25689755023332445,1.0
INTC_2024-12-02,sell,x_over_adv,2.9109573244711654e-07,46216,2.06523296880078,0.006641621839637562,1.0007688534995016,0.2599182413837927,1.0
INTC_2024-12-02,sell,x_over_adv,3.9694872606424983e-07,46216,2.0654259565118123,0.006642242472474503,1.0008639555874155,0.26164084888679867,1.0
INTC_2024-12-02,sell,x_over_adv,5.028017196813832e-07,46216,2.0655841843293743,0.00664275132031135,1.0009419537245343,0.2629227969658154,1.0
INTC_2024-12-02,sell,x_over_adv,6.351179617027999e-07,46216,2.06587353784611,0.0066436818577689455,1.0010846000113562,0.2643465157913483,1.0
INTC_2024-12-02,sell,x_over_adv,7.938974521284997e-07,46216,2.066138439843383,0.006644533761121754,1.001215179035077,0.26599745713203643,1.0
INTC_2024-12-02,sell,x_over_adv,1.0056034393627665e-06,46216,2.0663690025562214,0.006645275232119033,1.0013287846440813,0.26780416399559237,1.0
INTC_2024-12-02,sell,x_over_adv,1.2437726750013164e-06,46216,2.066672820596865,0.006646252286313161,1.0014786693313575,0.2694714059874304,1.0
INTC_2024-12-02,sell,x_over_adv,1.5877949042569993e-06,46216,2.0671505946023983,0.006647788768791166,1.001714580911978,0.2718156412847436,1.0
INTC_2024-12-02,sell,x_over_adv,1.9847436303212494e-06,46216,2.067796772442959,0.006649866824353414,1.0020326912139217,0.27458902696854304,1.0
INTC_2024-12-02,sell,x_over_adv,2.514008598406916e-06,46216,2.068655898235083,0.006652629703268368,1.002454561190961,0.27854102949512705,1.0
INTC_2024-12-02,sell,x_over_adv,3.1491265601097156e-06,46216,2.0695478570122123,0.006655498170401971,1.0028925597126959,0.28316714920790936,1.0
INTC_2024-12-02,sell,x_over_adv,4.216477579082476e-06,69324,2.0706791636500417,0.006659136360856337,1.003447751847676,0.28983229207409916,1.0
INTC_2024-12-02,sell,x_over_adv,5.6102086617080645e-06,46216,2.072279529162958,0.0066642830066355584,1.0042333823784007,0.29718478996459563,1.0
