sign,shares,n_fills,t_start,t_end,mid_start,mid_end
1.0,1301,19,44893.328427789,44895.184456383,219.115,219.125
-1.0,534,9,44895.336505288,44897.70289947,219.125,219.06
1.0,240,7,44899.117321683,44899.203796028,219.06,219.085
-1.0,103,3,44900.037256202,44903.22329025,219.09,219.09
1.0,605,9,44904.070338895,44904.099774936,219.095,219.135
-1.0,5,1,44904.111042266,44904.111042266,219.14,219.14
1.0,3,1,44906.997181502,44906.997181502,219.145,219.15
-1.0,20,1,44908.0472529,44908.0472529,219.15,219.145
1.0,390,10,44908.79550602,44911.974191684,219.135,219.155
-1.0,6,2,44912.548959747,44912.776468934,219.155,219.14
1.0,44,2,44913.194656475,44913.194656475,219.135,219.135
-1.0,222,6,44913.613584998,44914.450667366,219.145,219.125
1.0,44,3,44918.249927237,44918.249927237,219.12,219.12
-1.0,650,10,44919.665809378,44919.665869453,219.115,219.11
1.0,691,18,44919.6659045,44930.886720381,219.11,219.15
-1.0,80,3,44931.733739216,44931.733739216,219.155,219.15
1.0,10,1,44931.733766512,44931.733766512,219.145,219.145
-1.0,24,2,44932.93010866,44933.178867742,219.155,219.14
1.0,130,5,44935.180053253,44935.180099964,219.145,219.15
-1.0,120,2,44935.472654539,44935.857353089,219.15,219.15
1.0,131,2,44935.882079382,44935.882079382,219.145,219.145
-1.0,321,7,44936.436326192,44938.833514921,219.15,219.145
1.0,389,5,44940.771338615,44940.771424417,219.155,219.165
-1.0,621,13,44941.393615223,44943.432110328,219.15,219.11
1.0,100,2,44944.382050645,44944.382187384,219.115,219.12
-1.0,27,2,44944.574676205,44946.35688136,219.12,219.12
1.0,1526,32,44948.849989931,44951.74533164,219.12,219.24
-1.0,2,1,44951.746910529,44951.746910529,219.255,219.255
1.0,125,2,44951.824059242,44952.082317399,219.25,219.26
-1.0,136,4,44952.327840981,44952.32788794,219.26,219.255
1.0,879,16,44952.454200041,44952.45420441,219.235,219.25
-1.0,110,3,44955.375524648,44955.375561424,219.26,219.255
1.0,131,8,44959.867350837,44963.742865575,219.2,219.245
-1.0,101,2,44963.842627752,44963.842627752,219.25,219.25
1.0,198,11,44966.682451962,44967.934467903,219.235,219.265
-1.0,611,7,44968.113283666,44975.588655002,219.27,219.23
1.0,828,16,44976.11334591,44978.162707612,219.23,219.305
-1.0,198,11,44978.328957501,44980.801337957,219.32,219.305
