sign,shares,n_fills,t_start,t_end,mid_start,mid_end
-1.0,291,7,56393.746209299,56395.222403261,411.51,411.485
1.0,130,7,56395.493609687,56401.173312636,411.495,411.55
-1.0,125,12,56401.335516261,56406.046912049,411.555,411.47
1.0,3,1,56406.15993482,56406.15993482,411.465,411.465
-1.0,11,3,56407.411030598,56409.642789556,411.47,411.475
1.0,114,5,56410.967434554,56414.608681299,411.46,411.515
-1.0,67,14,56415.03982808,56420.419878662,411.52,411.44
1.0,10,1,56420.41991226,56420.41991226,411.425,411.425
-1.0,3,1,56420.69487526,56420.69487526,411.42,411.42
1.0,31,4,56421.038872379,56421.038937298,411.42,411.42
-1.0,613,24,56421.661077505,56426.709973596,411.44,411.36
1.0,5,1,56427.887950987,56427.887950987,411.375,411.375
-1.0,1,1,56429.530679923,56429.530679923,411.365,411.365
1.0,1,1,56429.742865528,56429.742865528,411.365,411.365
-1.0,7,2,56432.707368973,56432.707368973,411.36,411.36
1.0,20,3,56432.945154394,56438.028365978,411.36,411.385
-1.0,5,1,56441.113900483,56441.113900483,411.385,411.385
1.0,351,15,56441.917843732,56450.589311721,411.375,411.445
-1.0,21,2,56450.604191771,56450.604191771,411.45,411.45
1.0,659,17,56452.375930189,56458.17928809,411.45,411.525
-1.0,140,4,56458.57372287,56458.573804321,411.535,411.53
1.0,29,3,56458.921294688,56458.921615106,411.53,411.53
-1.0,3,1,56461.011704092,56461.011704092,411.53,411.53
1.0,15,1,56461.435781525,56461.435781525,411.535,411.535
-1.0,94,4,56462.617235144,56464.635876773,411.525,411.52
1.0,1088,36,56466.771154643,56481.250791124,411.51,411.63
-1.0,107,4,56483.680155942,56483.680236518,411.635,411.63
1.0,670,17,56485.667990587,56492.961354877,411.64,411.735
-1.0,1,1,56493.1521628,56493.1521628,411.76,411.76
1.0,35,3,56493.964819148,56494.076679928,411.77,411.785
-1.0,8,2,56495.607802683,56495.607802683,411.8,411.795
1.0,58,2,56495.631190461,56495.631190461,411.765,411.77
-1.0,10,2,56500.458140748,56500.458140748,411.795,411.8
1.0,38,2,56501.887410805,56502.028352806,411.785,411.79
-1.0,344,13,56506.129648242,56506.213045835,411.81,411.765
1.0,100,1,56506.410981293,56506.410981293,411.765,411.765
-1.0,168,7,56506.411094186,56506.951511759,411.785,411.765
1.0,10,2,56507.90408244,56507.90408244,411.745,411.735
-1.0,1,1,56508.421668543,56508.421668543,411.74,411.74
1.0,1195,21,56508.541519254,56515.452026446,411.74,411.8
-1.0,311,5,56516.092078626,56516.092151361,411.795,411.79
1.0,75,1,56516.09233249,56516.09233249,411.77,411.775
-1.0,83,4,56516.106046438,56518.931695501,411.8,411.78
1.0,278,6,56518.93294581,56520.852900743,411.78,411.84
-1.0,248,9,56521.260670945,56521.372224243,411.85,411.805
1.0,243,7,56521.747399931,56521.806987303,411.78,411.785
-1.0,149,9,56522.646236588,56532.113026843,411.825,411.82
1.0,228,8,56532.748857138,56542.340205718,411.775,411.875
-1.0,476,15,56542.341116508,56546.909654973,411.875,411.805
1.0,1,1,56548.427108638,56548.427108638,411.8,411.8
-1.0,16,2,56549.137468757,56549.137468757,411.82,411.82
1.0,127,7,56551.669891801,56551.670434701,411.83,411.85
-1.0,241,5,56552.871552563,56552.871580033,411.855,411.845
1.0,8,1,56555.217530569,56555.217530569,411.84,411.84
-1.0,263,11,56560.428727962,56569.17576396,411.835,411.83
1.0,1201,41,56570.067826453,56583.052679815,411.835,411.985
-1.0,141,5,56583.538835229,56583.53917209,412.0,411.985
1.0,245,11,56583.708780627,56588.622243658,411.985,412.045
-1.0,4,1,56588.624822436,56588.624822436,412.045,412.045
1.0,342,9,56590.325954599,56590.883779172,412.055,412.095
-1.0,210,5,56590.883958403,56590.88407209,412.095,412.1
1.0,25,2,56590.88407209,56590.884165754,412.09,412.1
-1.0,125,2,56590.884276131,56590.884786134,412.1,412.09
1.0,102,5,56591.031892184,56592.171929371,412.09,412.1
-1.0,60,2,56592.174512257,56592.174512257,412.105,412.11
1.0,58,5,56592.514368786,56593.442264095,412.105,412.115
-1.0,236,8,56593.800915496,56593.802207936,412.095,412.075
1.0,131,6,56594.529405459,56596.683380198,412.085,412.135
-1.0,1462,38,56597.67991314,56605.900459249,412.15,412.06
1.0,1,1,56605.907466748,56605.907466748,412.045,412.045
-1.0,187,8,56607.666826332,56607.949018904,412.045,412.015
1.0,1,1,56608.239435773,56608.239435773,412.015,412.015
-1.0,212,5,56608.70223213,56611.717017463,412.015,411.98
1.0,16,1,56613.081553508,56613.081553508,411.99,411.99
-1.0,139,11,56615.269086903,56616.515671844,411.97,411.915
1.0,42,3,56618.316713036,56620.881508815,411.94,411.945
-1.0,20,3,56625.266228684,56625.708919394,411.94,411.935
1.0,13,1,56626.686557263,56626.686557263,411.93,411.93
-1.0,3,1,56627.231607915,56627.231607915,411.915,411.915
1.0,7,1,56627.277386386,56627.277386386,411.9,411.9
-1.0,94,9,56627.614438698,56632.642596236,411.895,411.825
1.0,210,5,56632.675063722,56632.678311989,411.825,411.83
-1.0,94,8,56633.298325464,56633.342218235,411.82,411.805
1.0,14,1,56633.695016952,56633.695016952,411.8,411.8
-1.0,3,2,56635.670151901,56635.670151901,411.795,411.805
1.0,1057,22,56636.576923551,56644.780327821,411.795,411.955
-1.0,10,1,56645.13313556,56645.13313556,411.95,411.95
1.0,20,2,56647.002272346,56647.002272346,411.965,411.965
-1.0,46,4,56649.51068388,56652.403355212,411.955,411.96
1.0,41,1,56652.896443927,56652.896443927,411.955,411.96
-1.0,510,9,56653.310977013,56653.311068518,411.95,411.94
1.0,58,1,56653.311284731,56653.311284731,411.935,411.935
-1.0,73,1,56653.311284731,56653.311284731,411.935,411.935
1.0,25,1,56653.311515032,56653.311515032,411.935,411.935
-1.0,385,7,56653.311552112,56653.314704424,411.935,411.92
1.0,135,4,56653.316672535,56653.316884619,411.92,411.945
-1.0,100,2,56653.319688993,56653.319688993,411.93,411.945
1.0,26,2,56653.920037799,56657.098203366,411.955,412.0
-1.0,5,1,56663.890276412,56663.890276412,411.99,411.99
1.0,248,8,56664.146797417,56670.012077662,411.99,412.045
-1.0,5,1,56670.012122241,56670.012122241,412.05,412.05
1.0,50,3,56670.01232918,56670.012550557,412.04,412.04
-1.0,298,17,56670.189107651,56681.804686195,412.055,412.025
1.0,78,1,56681.81334927,56681.81334927,412.025,412.015
-1.0,69,3,56681.815934847,56681.815934847,412.01,412.015
1.0,250,8,56681.969942627,56686.724783996,412.01,412.06
-1.0,112,4,56687.064146423,56689.883915163,412.06,412.025
1.0,2,1,56690.001822283,56690.001822283,412.02,412.02
-1.0,368,19,56690.06937017,56692.319486317,412.01,411.97
1.0,912,16,56692.798517932,56696.074680592,411.975,412.01
-1.0,10,1,56696.267860606,56696.267860606,412.0,412.0
1.0,18,3,56696.286595067,56699.505383882,411.995,412.005
-1.0,116,6,56700.605701566,56704.758706389,412.0,411.98
1.0,1459,28,56704.999461933,56705.836111333,411.985,412.1
-1.0,132,7,56708.258400577,56716.834110153,412.115,412.115
1.0,160,4,56718.336548455,56718.336912187,412.115,412.13
-1.0,131,11,56720.701612162,56725.348820498,412.135,412.125
1.0,517,16,56725.924313347,56733.105590935,412.125,412.19
-1.0,2,1,56733.148839211,56733.148839211,412.2,412.2
1.0,27,4,56736.027694575,56736.621061942,412.19,412.22
-1.0,552,23,56737.448944454,56740.45713673,412.21,412.18
1.0,64,5,56741.429034785,56745.270415464,412.175,412.185
-1.0,13,3,56746.499604447,56746.499604447,412.18,412.175
1.0,29,4,56755.894391259,56760.820009979,412.185,412.205
-1.0,71,5,56760.850491166,56760.850535394,412.205,412.205
1.0,116,6,56760.8903938,56760.904891319,412.205,412.23
-1.0,46,1,56760.905515598,56760.905515598,412.24,412.235
1.0,46,2,56762.689165357,56762.70687019,412.23,412.235
-1.0,219,8,56762.861681653,56762.861686623,412.235,412.23
1.0,57,5,56763.226225942,56763.227187064,412.235,412.24
-1.0,170,5,56763.737578738,56764.315792903,412.235,412.215
1.0,413,8,56765.031125091,56767.377317173,412.22,412.26
-1.0,375,16,56768.112529273,56771.020053904,412.26,412.21
1.0,269,12,56772.491158586,56777.233899242,412.225,412.315
-1.0,351,9,56777.315951878,56777.315954242,412.305,412.295
1.0,10,1,56779.414959657,56779.414959657,412.315,412.315
-1.0,254,9,56781.862304761,56785.054250863,412.32,412.3
1.0,400,2,56787.927320459,56787.927320459,412.315,412.315
-1.0,304,16,56787.995552194,56792.45158344,412.315,412.315
1.0,460,7,56792.451719093,56792.451747751,412.295,412.3
-1.0,472,4,56792.453832454,56792.455120538,412.31,412.32
1.0,510,8,56797.219743898,56797.220606179,412.32,412.34
-1.0,60,2,56797.291973509,56797.300458121,412.345,412.345
1.0,404,14,56799.059345974,56801.420372617,412.355,412.465
-1.0,444,13,56801.624740114,56803.255477444,412.485,412.465
1.0,450,20,56805.454851083,56806.255210818,412.455,412.485
-1.0,60,2,56806.484485014,56806.484524012,412.505,412.5
1.0,528,19,56807.739272617,56809.916884321,412.505,412.585
-1.0,12,2,56810.434172421,56810.434172421,412.585,412.59
1.0,5,2,56811.619761393,56811.619784041,412.585,412.585
-1.0,514,36,56812.405083156,56818.998826147,412.575,412.52
1.0,10,2,56819.070054295,56819.080412533,412.51,412.51
-1.0,812,43,56819.205950619,56824.161574356,412.505,412.32
1.0,200,5,56824.222303786,56824.223604031,412.325,412.34
-1.0,713,16,56824.701770561,56824.775748478,412.34,412.3
1.0,39,2,56826.504848049,56826.505308406,412.29,412.31
-1.0,156,13,56826.943158911,56829.135484051,412.315,412.25
1.0,100,1,56829.61852919,56829.61852919,412.25,412.25
-1.0,106,3,56830.993116511,56830.993116511,412.265,412.27
1.0,530,11,56834.133499666,56838.706076103,412.265,412.32
-1.0,120,5,56840.691195908,56841.722869384,412.305,412.3
1.0,1415,23,56843.079711192,56849.571845821,412.29,412.385
-1.0,322,13,56849.791553063,56850.826837509,412.395,412.365
1.0,17,3,56851.510304235,56852.894037219,412.35,412.365
-1.0,199,7,56853.032397156,56853.032456825,412.355,412.34
1.0,409,10,56854.34033061,56856.095067802,412.33,412.375
-1.0,17,4,56856.670168902,56860.560460884,412.385,412.38
1.0,549,12,56862.853897408,56864.10164422,412.375,412.43
-1.0,422,19,56865.055535279,56876.390223084,412.45,412.35
1.0,124,5,56876.390259819,56876.524038495,412.345,412.35
-1.0,639,23,56876.532214418,56879.831504391,412.355,412.275
1.0,225,2,56881.019398311,56881.165141906,412.33,412.345
-1.0,11,2,56881.256584772,56881.256584772,412.35,412.36
1.0,505,11,56882.203602372,56889.034899846,412.35,412.44
-1.0,116,6,56889.184529957,56889.739350869,412.445,412.4
1.0,7,1,56893.619095257,56893.619095257,412.39,412.38
-1.0,18,4,56898.139314236,56898.221488234,412.405,412.405
1.0,101,5,56900.762474222,56900.762821924,412.415,412.42
-1.0,211,6,56901.502333051,56903.070514635,412.425,412.425
1.0,12,1,56903.898624718,56903.898624718,412.45,412.45
-1.0,72,2,56905.914090582,56909.191532218,412.45,412.44
1.0,845,16,56913.875027702,56918.877830196,412.43,412.49
-1.0,1,1,56919.670865506,56919.670865506,412.495,412.495
1.0,24,2,56921.846910521,56921.846944917,412.495,412.51
-1.0,190,9,56925.781809785,56925.782716726,412.51,412.495
1.0,10,2,56925.978082071,56926.225460834,412.47,412.475
-1.0,180,7,56928.981827256,56928.991992864,412.46,412.435
1.0,37,8,56929.710909557,56935.120096296,412.435,412.475
-1.0,69,3,56935.155598155,56935.155598155,412.47,412.475
1.0,4,1,56936.264701066,56936.264701066,412.47,412.47
-1.0,69,3,56936.283479117,56936.283479117,412.465,412.475
1.0,9,3,56937.42997009,56937.871150744,412.46,412.47
-1.0,19,2,56937.880952327,56937.880952327,412.47,412.465
1.0,20,1,56938.154651405,56938.154651405,412.46,412.46
-1.0,46,6,56938.51156959,56939.078109678,412.455,412.435
1.0,9,2,56939.602964461,56939.603465091,412.44,412.45
-1.0,577,33,56939.6361798,56945.8885838,412.445,412.375
1.0,12,2,56946.868242956,56947.01571646,412.385,412.4
-1.0,222,11,56947.034137911,56948.01005535,412.395,412.37
1.0,13,1,56948.010082305,56948.010082305,412.365,412.36
-1.0,283,12,56948.467190493,56949.846298002,412.36,412.32
1.0,26,2,56950.129023214,56950.150792666,412.32,412.34
-1.0,75,7,56950.489088047,56951.707851528,412.35,412.33
1.0,655,4,56951.891759652,56952.566156756,412.33,412.36
-1.0,88,5,56952.568850863,56952.609898978,412.36,412.36
1.0,1171,24,56952.610731935,56958.824306909,412.355,412.445
-1.0,54,4,56961.60913041,56962.687942727,412.455,412.44
1.0,200,1,56962.978120602,56962.978120602,412.47,412.47
-1.0,153,9,56963.008559703,56967.173567041,412.465,412.415
1.0,5,1,56967.278678444,56967.278678444,412.42,412.42
