sec,signed_vol,mid
35185,-70.0,223.56
35186,-30.0,223.55
35187,0.0,223.55
35188,307.0,223.56
35189,-264.0,223.53
35190,-9.0,223.53
35191,119.0,223.545
35192,-149.0,223.535
35193,-90.0,223.54
35194,0.0,223.53
35195,-1169.0,223.49
35196,202.0,223.505
35197,603.0,223.53
35198,254.0,223.535
35199,-35.0,223.535
35200,1149.0,223.56
35201,-364.0,223.545
35202,-1137.0,223.54
35203,-5.0,223.565
35204,-85.0,223.56
35205,872.0,223.57
35206,-219.0,223.595
35207,-630.0,223.57
35208,2.0,223.555
35209,-1141.0,223.45
35210,-10.0,223.45
35211,164.0,223.45
35212,-688.0,223.455
35213,-413.0,223.39
35214,100.0,223.395
35215,0.0,223.395
35216,-494.0,223.33
35217,-337.0,223.305
35218,295.0,223.31
35219,2.0,223.3
35220,53.0,223.305
35221,53.0,223.305
35222,67.0,223.325
35223,-436.0,223.32
35224,469.0,223.295
35225,609.0,223.315
35226,-40.0,223.315
35227,377.0,223.34
35228,-807.0,223.345
35229,801.0,223.385
35230,505.0,223.395
35231,201.0,223.405
35232,0.0,223.41
35233,403.0,223.43
35234,0.0,223.43
35235,7.0,223.43
35236,-769.0,223.365
35237,6.0,223.39
35238,-1.0,223.37
35239,-972.0,223.3
35240,9.0,223.295
35241,132.0,223.305
35242,-104.0,223.31
35243,137.0,223.3
35244,241.0,223.305
35245,360.0,223.34
35246,-90.0,223.315
35247,-10.0,223.31
35248,0.0,223.305
35249,125.0,223.305
35250,0.0,223.305
35251,0.0,223.305
35252,-29.0,223.31
35253,1720.0,223.425
35254,455.0,223.455
35255,-1435.0,223.42
35256,-10.0,223.425
35257,536.0,223.485
35258,-575.0,223.42
35259,3.0,223.45
35260,-1300.0,223.435
35261,-174.0,223.35
35262,-50.0,223.34
35263,14.0,223.32
35264,25.0,223.335
35265,-521.0,223.31
35266,200.0,223.3
35267,-6063.0,223.305
35268,0.0,223.305
35269,-63.0,223.305
35270,140.0,223.305
35271,0.0,223.305
35272,225.0,223.3
35273,11.0,223.3
35274,1215.0,223.315
35275,64.0,223.32
35276,-110.0,223.32
35277,-481.0,223.305
35278,-9.0,223.315
35279,-344.0,223.315
35280,243.0,223.365
35281,-301.0,223.34
35282,-1199.0,223.35
35283,103.0,223.34
35284,-826.0,223.345
35285,96.0,223.3
35286,859.0,223.3
35287,1539.0,223.3
35288,-597.0,223.295
35289,254.0,223.31
35290,144.0,223.31
35291,553.0,223.37
35292,-81.0,223.375
35293,262.0,223.355
35294,105.0,223.35
35295,310.0,223.36
35296,1881.0,223.38
35297,400.0,223.37
35298,180.0,223.36
35299,74.0,223.355
35300,145.0,223.345
35301,276.0,223.345
35302,30.0,223.33
35303,7.0,223.335
35304,40.0,223.34
35305,85.0,223.355
35306,-163.0,223.34
35307,531.0,223.37
35308,1796.0,223.48
35309,-584.0,223.415
35310,-1458.0,223.37
35311,95.0,223.36
35312,-10.0,223.33
35313,-1492.0,223.35
35314,-149.0,223.325
35315,237.0,223.34
35316,0.0,223.34
35317,0.0,223.34
35318,204.0,223.355
35319,-525.0,223.315
35320,1300.0,223.33
35321,-45.0,223.33
35322,1250.0,223.34
35323,369.0,223.355
35324,0.0,223.355
35325,632.0,223.375
35326,1258.0,223.4
35327,103.0,223.415
35328,-1154.0,223.345
35329,70.0,223.345
