session,model,decile,predicted,realised,realised_se,n,ratio
MSFT_2024-04-01,propagator_scaled,3,3.291689464615293e-05,1.9776113298721945e-05,1.1268753548273425e-06,281,0.6007891543631143
MSFT_2024-04-01,propagator_scaled,4,4.3127945837219014e-05,3.086653081277821e-05,1.6116633581629001e-06,284,0.715696753313502
MSFT_2024-04-01,propagator_scaled,5,5.7415138275334405e-05,3.941498397600089e-05,1.980344874537422e-06,281,0.6864911443213157
MSFT_2024-04-01,propagator_scaled,6,7.843474582377934e-05,5.39563012028793e-05,2.4148330709101564e-06,284,0.6879132537014122
MSFT_2024-04-01,propagator_scaled,7,0.00010973178758610682,6.83465327041124e-05,2.7372062692856606e-06,281,0.6228508093015499
MSFT_2024-04-01,propagator_scaled,8,0.0001646440806565519,0.00010269685300176678,3.6387320628153086e-06,282,0.6237506540911893
MSFT_2024-04-01,propagator_scaled,9,0.00032067071761411164,0.00015677826773679519,5.5370551872335245e-06,283,0.4889073405369643
MSFT_2024-10-01,propagator_scaled,0,2.1480543519425845e-05,1.7704455269141778e-05,9.069798062300508e-07,398,0.8242089057537498
MSFT_2024-10-01,propagator_scaled,1,2.8885245294161365e-05,1.794415458368475e-05,8.337918439200728e-07,392,0.6212221638052643
MSFT_2024-10-01,propagator_scaled,2,3.408324019668117e-05,2.6313845414321035e-05,1.4112924411351656e-06,380,0.7720464739406827
MSFT_2024-10-01,propagator_scaled,3,4.30279246308418e-05,2.9870221931061148e-05,1.4814132037548275e-06,398,0.6942054999708399
MSFT_2024-10-01,propagator_scaled,4,5.1114021459048946e-05,3.0088442777769863e-05,1.5000797892362433e-06,407,0.5886534050519943
MSFT_2024-10-01,propagator_scaled,5,5.618635392327979e-05,4.688916841513063e-05,2.040360039921937e-06,380,0.8345294745260727
MSFT_2024-10-01,propagator_scaled,6,6.646001611855965e-05,5.637302710637566e-05,2.332459685918877e-06,394,0.8482246980772685
MSFT_2024-10-01,propagator_scaled,7,8.755448332859676e-05,8.075678695917512e-05,3.140214049115347e-06,392,0.9223603850883397
MSFT_2024-10-01,propagator_scaled,8,0.00013110528908421234,0.00010874675871409352,3.868865885826244e-06,392,0.8294612633380691
MSFT_2024-10-01,propagator_scaled,9,0.00029341757913872756,0.0001894181195769223,6.408618767296834e-06,393,0.6455581841174062
MSFT_2024-12-02,propagator_scaled,0,5.447626036222139e-06,1.4786084343010093e-05,1.2341928142339145e-06,196,2.714225287252658
MSFT_2024-12-02,propagator_scaled,1,1.2187695042159386e-05,2.0009840195796808e-05,3.142047799960485e-06,193,1.6418067671187409
MSFT_2024-12-02,propagator_scaled,2,2.0753611660128664e-05,2.5645958671387354e-05,2.546066521400376e-06,208,1.2357347285560782
MSFT_2024-12-02,propagator_scaled,3,3.189605038008109e-05,2.5873757185805857e-05,2.4238856419392775e-06,203,0.8111900024450638
MSFT_2024-12-02,propagator_scaled,4,4.2012704260745536e-05,3.604244770221319e-05,2.787417693882526e-06,202,0.8578940188786981
MSFT_2024-12-02,propagator_scaled,5,5.851492622751158e-05,4.956454737226886e-05,5.107704131774041e-06,201,0.8470410981901814
MSFT_2024-12-02,propagator_scaled,6,7.901252298906771e-05,6.107067617681446e-05,4.968007124216569e-06,199,0.7729240108591937
MSFT_2024-12-02,propagator_scaled,7,0.0001096030168813353,8.770452213352431e-05,7.437092685398832e-06,202,0.8002017155100758
MSFT_2024-12-02,propagator_scaled,8,0.0001693624037670821,0.00011201464907735214,6.222439233469458e-06,200,0.6613902884338001
MSFT_2024-12-02,propagator_scaled,9,0.00036438312056572415,0.0002009499039355811,9.616863984229974e-06,200,0.5514797272266501
INTC_2024-08-02,propagator_scaled,0,5.341481810068121e-05,4.240549424434663e-05,9.970738854159108e-06,83,0.7938900805468778
INTC_2024-08-02,propagator_scaled,1,7.588795734969462e-05,2.8074950066461405e-05,5.631759024912039e-06,184,0.3699526386919463
INTC_2024-08-02,propagator_scaled,2,9.509398968900674e-05,7.137980373285667e-05,1.1479704067635454e-05,138,0.7506237141410892
INTC_2024-08-02,propagator_scaled,3,0.00012002477854558929,0.00012760140629994744,1.11371531256568e-05,147,1.063125529962801
INTC_2024-08-02,propagator_scaled,4,0.00015727648688146977,0.00017018593641452627,1.2499101273683833e-05,138,1.082081242969177
INTC_2024-08-02,propagator_scaled,5,0.0001939882342375907,0.00020428734236526569,1.2845737046016889e-05,139,1.0530914061265229
INTC_2024-08-02,propagator_scaled,6,0.00024397197620807748,0.0003024742512931628,2.2786109499183665e-05,138,1.239790962857104
INTC_2024-08-02,propagator_scaled,7,0.00045588238934144137,0.0004110259229903054,3.3276102646847285e-05,138,0.9016051784410126
INTC_2024-08-02,propagator_scaled,8,0.0009362555108282037,0.0005450197113204197,3.6507195518974256e-05,138,0.5821271063476036
INTC_2024-08-02,propagator_scaled,9,0.002381188996780918,0.0009091826999313966,5.9452193343901056e-05,138,0.38181878933612684
INTC_2024-02-01,propagator_scaled,0,3.395866122867269e-05,2.6511521245861104e-05,5.562665404772859e-06,87,0.780699835819097
INTC_2024-02-01,propagator_scaled,1,5.01377461940082e-05,7.640901058761797e-05,6.336335209853578e-06,83,1.5239817580142716
INTC_2024-02-01,propagator_scaled,2,5.993614688410406e-05,9.655553587460771e-05,4.995858299045237e-06,86,1.6109733590534772
INTC_2024-02-01,propagator_scaled,3,6.87792184081259e-05,0.00010585061221280282,7.532908035963715e-06,85,1.5389912049407228
INTC_2024-02-01,propagator_scaled,4,7.838079980376494e-05,9.763336214198069e-05,5.28354737507043e-06,85,1.2456285517169596
INTC_2024-02-01,propagator_scaled,5,9.282644476762438e-05,0.00011392046488948642,8.301833601588582e-06,85,1.2272414954021715
INTC_2024-02-01,propagator_scaled,6,0.00015690758178388387,0.00021569035744033852,1.6693987238192798e-05,85,1.3746331119768254
INTC_2024-02-01,propagator_scaled,7,0.00029992466201115344,0.00027617657321867673,1.5046641414910168e-05,86,0.920819819773295
INTC_2024-02-01,propagator_scaled,8,0.00052509224202557,0.0003541338114256413,2.1656573446847415e-05,85,0.6744220978385668
INTC_2024-02-01,propagator_scaled,9,0.0010810785676675725,0.00054123401283391,3.1992311719588694e-05,85,0.50064262581916
