session,start_second,order_fraction,TWAP_total,TWAP_drift,TWAP_impact,propagator_optimal_total,propagator_optimal_drift,propagator_optimal_impact,almgren_chriss_total,almgren_chriss_drift,almgren_chriss_impact,TWAP_inventory_var,propagator_optimal_inventory_var,almgren_chriss_inventory_var
MSFT_2024-06-03,54054,0.02,0.1226997064436953,0.11580833333334795,0.0068913731103473555,0.1227028797553394,0.11581150653461236,0.006891373220727046,0.15372785843529926,0.1430287665675678,0.01069909186773146,2481294489259.994,2481380107527.107,1206548176401.7417
MSFT_2024-06-03,54127,0.005,-0.08658545524565738,-0.08830833333325927,0.0017228780876018968,-0.08659052720380192,-0.08831340524989173,0.001722878046089813,-0.057898316393793836,-0.06057326465599999,0.0026749482622061525,155080905578.74963,155086256720.44418,75409261025.10886
MSFT_2024-06-03,54127,0.01,-0.08486256993767402,-0.08830833333325927,0.0034457633955852504,-0.08486764193733101,-0.08831340524989173,0.003445763312560721,-0.05522334581146046,-0.06057326465599999,0.005349918844539529,620323622314.9985,620345026881.7767,301637044100.4354
MSFT_2024-06-03,54127,0.02,-0.0814167776604419,-0.08830833333325927,0.0068915556728173675,-0.08142184974312487,-0.08831340524989173,0.006891555506766862,-0.04987333768556928,-0.06057326465599999,0.010699926970430712,2481294489259.994,2481380107527.107,1206548176401.7417
MSFT_2024-06-03,54159,0.005,-0.08240212533552858,-0.0841249999999718,0.0017228746644432154,-0.08240777315007301,-0.08413064776817691,0.0017228746181039002,-0.06181526104153567,-0.06449013992988739,0.0026748788883517224,155080905578.74963,155086256720.44418,75409261025.10886
MSFT_2024-06-03,54159,0.01,-0.08067924345071827,-0.0841249999999718,0.003445756549253539,-0.08068489131160239,-0.08413064776817691,0.0034457564565745172,-0.05914035983352338,-0.06449013992988739,0.005349780096364013,620323622314.9985,620345026881.7767,301637044100.4354
MSFT_2024-06-03,54159,0.02,-0.07723345801987526,-0.0841249999999718,0.006891541980096549,-0.07723910597343997,-0.08413064776817691,0.006891541794736938,-0.053790490457674346,-0.06449013992988739,0.010699649472213047,2481294489259.994,2481380107527.107,1206548176401.7417
MSFT_2024-06-03,54455,0.005,0.11158983043883822,0.10986666666667588,0.0017231637721623384,0.11159154043345812,0.10986837664592031,0.0017231637875378173,0.053765682577614216,0.05109124727539438,0.0026744353022198383,155080905578.74963,155086256720.44418,75409261025.10886
MSFT_2024-06-03,54455,0.01,0.11331300143257916,0.10986666666667588,0.003446334765903281,0.11331471144257454,0.10986837664592031,0.003446334796654238,0.05644014019429387,0.05109124727539438,0.005348892918899494,620323622314.9985,620345026881.7767,301637044100.4354
MSFT_2024-06-03,54455,0.02,0.11675936508491792,0.10986666666667588,0.006892698418242041,0.11676107512566425,0.10986837664592031,0.006892698479743947,0.061789122371875164,0.05109124727539438,0.010697875096480782,2481294489259.994,2481380107527.107,1206548176401.7417
MSFT_2024-06-03,54620,0.005,0.2579485256684387,0.256225000000029,0.0017235256684096758,0.25795068639746943,0.25622716070995466,0.001723525687514783,0.21500984304644363,0.21233475259305123,0.002675090453392405,155080905578.74963,155086256720.44418,75409261025.10886
MSFT_2024-06-03,54620,0.01,0.2596720585599435,0.256225000000029,0.0034470585599145303,0.25967421930807943,0.25622716070995466,0.0034470585981247704,0.21768495581903166,0.21233475259305123,0.005350203225980426,620323622314.9985,620345026881.7767,301637044100.4354
MSFT_2024-06-03,54620,0.02,0.26311914601235986,0.256225000000029,0.0068941460123308615,0.2631213067987061,0.25622716070995466,0.006894146088751442,0.22303524832263721,0.21233475259305123,0.010700495729585986,2481294489259.994,2481380107527.107,1206548176401.7417
MSFT_2024-06-03,54641,0.005,0.14989859671953074,0.14817500000003747,0.0017235967194932722,0.14989223627259063,0.1481686396053874,0.0017235966672032375,0.11105216629489664,0.10837687616322,0.002675290131676636,155080905578.74963,155086256720.44418,75409261025.10886
MSFT_2024-06-03,54641,0.01,0.15162220066241702,0.14817500000003747,0.0034472006623795575,0.15161584016318647,0.1481686396053874,0.003447200557799065,0.11372747874798636,0.10837687616322,0.00535060258476635,620323622314.9985,620345026881.7767,301637044100.4354
