symbol,june_days,mean_close,mean_volume,mean_high_low_bp,relative_tick,dollar_volume
HSIC,20,66.874,448704.4,205.21806157183565,0.0001495349463169543,30006658.0456
HST,20,18.022,2515245.9,174.5305904545639,0.0005548773721007658,45329761.609799996
HSY,20,188.566,144003.2,204.05752020310965,5.303182970418845e-05,27154107.4112
HUBB,20,375.14875,99701.25,308.10316400486977,2.6656093083077047e-05,37402799.3109375
HUM,20,358.265,144033.1,216.2272508251262,2.7912299554798823e-05,51602018.5715
HWM,20,81.11274999999999,309124.55,240.6647737333066,0.00012328518019670152,25073942.343012497
IBM,20,170.4375,365036.8,177.70899775600964,5.8672533920058674e-05,62215959.6
ICE,20,136.17075,241716.95,149.79462448356924,7.343721026725637e-05,32914778.3692125
IDXX,20,497.06949999999995,264568.35,233.09086650149158,2.0117911076821253e-05,131508857.45032497
IEX,20,202.2765,58280.8,185.61901020125487,4.94372801585948e-05,11788836.2412
IFF,20,96.28450000000001,143243.65,204.6884434614567,0.00010385887655853226,13792143.218425
INCY,20,60.975,2635699.7,245.96675851383088,0.00016400164001640017,160711789.2075
INTC,20,30.676499999999997,13578546.35,237.5305178160796,0.00032598242954704745,416542277.10577494
INTU,20,604.723,632786.85,229.81705674338656,1.6536496875428916e-05,382660762.29254997
INVH,20,35.246249999999996,286947.2,169.68319851565906,0.0002837181260417775,10113812.748
IP,20,44.882999999999996,876252.4,370.19303166532876,0.00022280150613818153,39328836.4692
IPG,20,29.827999999999996,384803.7,215.785336499763,0.00033525546466407405,11477924.7636
IQV,20,214.83800000000002,172347.25,205.49086916657083,4.6546700304415414e-05,37026738.495500006
IR,20,91.3745,392448.25,257.0695876236265,0.00010943972333637941,35859762.619625
IRM,20,87.1455,220005.7,193.9748767492461,0.00011475061821895565,19172506.72935
ISRG,20,427.576,601208.85,213.53811115062118,2.3387655060153048e-05,257062475.2476
IT,20,440.238,51550.85,172.22768766713514,2.271498598485365e-05,22694643.1023
ITW,20,239.3195,113606.75,160.68102726952313,4.1785144963114165e-05,27188310.606625002
IVZ,20,15.07475,462211.45,217.40480372674793,0.0006633609180915107,6967722.0558875
J,20,139.43775,75896.3,155.96213092453917,7.171659037814366e-05,10582809.305325
JBHT,20,158.47899999999998,370766.9,211.4769479174644,6.309984288139123e-05,58758767.545099996
JBL,20,115.5565,257306.85,367.84866838405173,8.653775425873924e-05,29733479.012025002
JCI,20,69.04525,378399.6,205.0640277805864,0.00014483255546181672,26126694.981899995
JKHY,20,164.176,222475.5,202.73226805135815,6.091024266640679e-05,36525137.68799999
JNJ,20,146.717,511604.15,140.92960787851075,6.81584274487619e-05,75061026.07555
JNPR,20,35.644,178479.75,111.91994519306243,0.00028055212658511955,6361732.209
JPM,20,197.8345,944618.5,187.5605026008622,5.054730090050017e-05,186878128.63825
K,20,58.57899999999999,193237.75,180.1762221040005,0.0001707096399733693,11319674.157249998
KDP,20,34.195,2932242.0,183.52089851031104,0.00029244041526538966,100268015.19
KEY,20,13.754249999999999,1353329.65,254.53858468366843,0.0007270480033444209,18614034.3385125
KEYS,20,136.71099999999998,135272.2,157.57925217009358,7.314700353300028e-05,18493197.7342
KHC,20,33.2665,3100415.9,219.86066151696326,0.00030060270843040296,103139985.53735
KIM,20,18.93875,402655.45,176.6566228902481,0.0005280179526103888,7625790.903687499
