symbol,june_days,mean_close,mean_volume,mean_high_low_bp,relative_tick,dollar_volume,tick_tercile,volume_tercile,cell,role
PAYX,20.0,122.2105,961602.5,266.22176276411676,8.182602967830097e-05,117517922.32625,mid,high,mid_tick__high_volume,stratified
POOL,20.0,333.907,189617.65,336.48546636394974,2.9948458702572875e-05,63314660.658549994,low,high,low_tick__high_volume,stratified
PPL,20.0,28.20475,415422.95,140.9351602767783,0.0003545502087414,11716900.4490125,high,low,high_tick__low_volume,stratified
REG,20.0,61.541,501945.55,152.68442123120315,0.0001624932971514,30890231.09255,high,mid,high_tick__mid_volume,stratified
RF,20.0,18.91025,854508.15,226.42181798057936,0.0005288137385809,16158962.7435375,high,low,high_tick__low_volume,stratified
RL,20.0,181.83,114610.55,251.87756588479323,5.4996425232359903e-05,20839636.3065,low,low,low_tick__low_volume,stratified
ROST,20.0,145.91275000000002,1119197.25,170.2724178775933,6.853410685495269e-05,163305148.53993753,mid,high,mid_tick__high_volume,stratified
RSG,20.0,190.42275,96558.85,119.06743859831792,5.251473366496388e-05,18387001.753837503,low,low,low_tick__low_volume,stratified
SBUX,20.0,80.163,3529210.5,199.24325680684657,0.0001247458303706,282912101.3115,mid,high,mid_tick__high_volume,stratified
SNPS,20.0,590.6155,358699.25,248.9758423186377,1.6931489268398814e-05,211853336.88837495,low,high,low_tick__high_volume,stratified
SO,20.0,78.5955,323193.7,152.1002960499007,0.0001272337474791,25401570.44835,high,mid,high_tick__mid_volume,stratified
SRE,20.0,75.80225,261864.55,167.6330239347007,0.0001319222054754,19849922.0852375,high,low,high_tick__low_volume,stratified
STZ,20.0,256.20775,129952.15,164.03297787256676,3.903082557026476e-05,33294747.959162496,low,mid,low_tick__mid_volume,stratified
SYF,20.0,44.1385,528974.6,256.85451668835043,0.0002265595795054,23348145.3821,high,low,high_tick__low_volume,stratified
SYY,20.0,72.423,306541.15,162.55050847972146,0.0001380776825041,22200629.70645,high,low,high_tick__low_volume,stratified
TER,20.0,145.3505,1110662.75,315.13205826620026,6.8799212937004e-05,161435386.043875,mid,high,mid_tick__high_volume,stratified
TROW,20.0,116.513,451180.85,177.29639360993377,8.582733257233099e-05,52568434.376049995,mid,mid,mid_tick__mid_volume,stratified
TTWO,20.0,159.5125,716510.65,216.04452745574025,6.269101167620093e-05,114292405.058125,mid,high,mid_tick__high_volume,stratified
UAL,20.0,50.598,2066079.25,318.25324588441157,0.0001976362702083,104539477.8915,high,high,high_tick__high_volume,stratified
UBER,20.0,69.655,1623074.9,314.11087412340316,0.0001435647117938,113055282.1595,high,high,high_tick__high_volume,stratified
UHS,20.0,188.12775,76110.05,277.69339737770395,5.315536915739437e-05,14318412.458887504,low,low,low_tick__low_volume,stratified
UPS,20.0,136.7925,481190.8,198.78523005161588,7.310342306778516e-05,65823292.509,mid,high,mid_tick__high_volume,stratified
VMC,20.0,249.413,94241.4,204.335285842646,4.009414104316936e-05,23505030.2982,low,low,low_tick__low_volume,stratified
VRSN,20.0,179.3355,345575.45,172.1073552452451,5.576140808707702e-05,61973946.113475,low,mid,low_tick__mid_volume,stratified
VST,20.0,88.20349999999999,1067835.7,627.1189252685197,0.0001133741858316,94186846.16494998,mid,high,mid_tick__high_volume,stratified
VTRS,20.0,10.4385,3961847.95,281.5268111648714,0.0009579920486659,41355749.82607501,high,mid,high_tick__mid_volume,stratified
WAB,20.0,161.8945,133537.1,185.9192538527321,6.176862092288496e-05,21618922.03595,mid,low,mid_tick__low_volume,stratified
WYNN,20.0,90.5695,653624.3,188.14131992232296,0.0001104124456908,59198426.038849995,mid,mid,mid_tick__mid_volume,stratified
YUM,20.0,136.10475,218685.6,156.7656609613732,7.347282148492246e-05,29764148.9166,mid,mid,mid_tick__mid_volume,stratified
ZBH,20.0,109.2635,245900.5,204.31491197328532,9.15218714392272e-05,26867949.281749997,mid,mid,mid_tick__mid_volume,stratified
