session,model,decile,predicted,realised,realised_se,n,ratio
AAPL_2024-02-01,propagator,8,0.00010362321899737452,5.8731766317356844e-05,2.175148591483675e-06,499,0.5667819132200952
AAPL_2024-02-01,propagator,9,0.00027089080359145806,0.00011373374840378736,3.667724598518561e-06,501,0.41985090263645153
AAPL_2024-04-01,propagator,0,-0.000282360542745706,9.857288978255324e-05,5.176967924015485e-06,239,-0.3491029193527511
AAPL_2024-04-01,propagator,1,-9.802098029062239e-05,4.4300376602586775e-05,2.767684761671043e-06,239,-0.4519479041246129
AAPL_2024-04-01,propagator,2,-5.8502173929905245e-05,2.802721733878158e-05,1.6074434102163563e-06,255,-0.47907992910421704
AAPL_2024-04-01,propagator,3,-3.888661994808012e-05,1.8200011816471174e-05,1.215756979554839e-06,223,-0.46802761054499237
AAPL_2024-04-01,propagator,4,-2.06629542337884e-05,1.038091105550259e-05,9.935101468010584e-07,238,-0.5023923945264107
AAPL_2024-04-01,propagator,5,2.363891663622955e-05,1.0638458603044595e-05,8.685791944599568e-07,282,0.4500400236929576
AAPL_2024-04-01,propagator,6,4.352114883329394e-05,2.3983072247127725e-05,1.2952894325060189e-06,195,0.5510670763539341
AAPL_2024-04-01,propagator,7,6.324857643250634e-05,3.101876367364423e-05,1.6810387510315168e-06,238,0.490426273969105
AAPL_2024-04-01,propagator,8,0.00010814893970992758,5.291718361503677e-05,2.7531631123058676e-06,239,0.48929914391180307
AAPL_2024-04-01,propagator,9,0.00029916985194838105,9.746534047751691e-05,4.878699329332798e-06,239,0.3257859702197989
AAPL_2024-06-03,propagator,0,-0.00018540309675405578,0.0001123308537520755,4.179421306364726e-06,422,-0.6058736651043463
AAPL_2024-06-03,propagator,1,-8.20354978756033e-05,5.5506864046767315e-05,2.1519111443876085e-06,422,-0.6766200667293641
AAPL_2024-06-03,propagator,2,-5.468898903255649e-05,3.229598655124168e-05,1.2318263897908218e-06,422,-0.59053910343846
AAPL_2024-06-03,propagator,3,-3.6586878449302827e-05,2.140489685677909e-05,8.128312787727216e-07,552,-0.5850429925701127
AAPL_2024-06-03,propagator,4,-1.5748319951161162e-05,1.3721830940561436e-05,8.44656974529273e-07,292,-0.8713203048398628
AAPL_2024-06-03,propagator,5,2.0000270628446385e-05,1.0136083922911746e-05,6.147072961239131e-07,551,0.5067973384567703
AAPL_2024-06-03,propagator,6,4.007100134209004e-05,2.0828946168954564e-05,1.1658337385728108e-06,293,0.5198009900260746
AAPL_2024-06-03,propagator,7,6.066034454524334e-05,3.044871628401018e-05,1.2045983286137107e-06,422,0.5019542258171662
AAPL_2024-06-03,propagator,8,0.00010766279881297584,5.8886525367081556e-05,2.32876240856284e-06,422,0.546953321075881
AAPL_2024-06-03,propagator,9,0.0002571527439545819,0.00012646563288895403,4.611338420205245e-06,422,0.4917918858034441
AAPL_2024-08-01,propagator,0,-0.00023168656464904837,0.00019033036800415588,4.914334501483669e-06,834,-0.8214993747801579
AAPL_2024-08-01,propagator,1,-9.937990845351434e-05,8.258142912632294e-05,2.2335295388905273e-06,838,-0.8309670476799743
AAPL_2024-08-01,propagator,2,-6.312506265706294e-05,4.40684573380365e-05,1.3695857884993512e-06,824,-0.6981134827136011
AAPL_2024-08-01,propagator,3,-4.371364988598489e-05,2.3049602158348763e-05,9.256958794736615e-07,842,-0.5272861501720253
AAPL_2024-08-01,propagator,4,-1.8298344367308232e-05,1.6079392000378914e-05,6.660123242733067e-07,822,-0.8787348012264053
AAPL_2024-08-01,propagator,5,1.9142148962740266e-05,1.3184288260047728e-05,7.372466579626545e-07,832,0.6887569564791617
AAPL_2024-08-01,propagator,6,4.5897281347093224e-05,2.510132475111011e-05,1.0514471186238442e-06,831,0.5469022132549433
AAPL_2024-08-01,propagator,7,7.312980453424082e-05,4.7303049435187813e-05,1.5950411154223032e-06,840,0.6468368093755753
AAPL_2024-08-01,propagator,8,0.00011575115848855622,8.55526416270827e-05,2.3979064739732324e-06,824,0.7391082970071604
AAPL_2024-08-01,propagator,9,0.00024192917113555952,0.00018336413830976318,4.587794058358367e-06,832,0.757924881274525
AAPL_2024-10-01,propagator,0,-0.00017067240953480727,0.00010700136905096032,3.1146490357646233e-06,687,-0.6269400504897557
AAPL_2024-10-01,propagator,1,-8.2632357101355e-05,5.574071366786311e-05,1.6914588051347299e-06,693,-0.6745627938398611
AAPL_2024-10-01,propagator,2,-5.937895399622e-05,2.8919356051786743e-05,1.036563897994705e-06,885,-0.4870304056489058
AAPL_2024-10-01,propagator,3,-4.8007473368733917e-05,2.3689877440132857e-05,1.0417059670703224e-06,485,-0.49346228363606176
AAPL_2024-10-01,propagator,4,-3.2435520349026085e-05,1.5630634556213664e-05,5.714224342939177e-07,683,-0.4818986835425624
AAPL_2024-10-01,propagator,5,3.50123917832456e-05,1.4480851906928898e-05,6.422058151589737e-07,688,0.41359219320339
AAPL_2024-10-01,propagator,6,5.228745072913738e-05,1.7871485934768297e-05,7.163673833124306e-07,685,0.34179302462740535
AAPL_2024-10-01,propagator,7,6.504568632150374e-05,3.769375596431771e-05,1.1769093110344663e-06,690,0.5794966291539669
AAPL_2024-10-01,propagator,8,9.373748322831188e-05,6.578723123152426e-05,2.005366432926478e-06,683,0.7018241685803475
AAPL_2024-10-01,propagator,9,0.0002164294921787144,0.00011636064296895194,3.4749537582975753e-06,687,0.5376376472429568
MSFT_2024-06-03,propagator_scaled,0,-2.1213672068345045e-06,0.00015327663866072997,7.1348824532508775e-06,274,-72.2537041993068
MSFT_2024-06-03,propagator_scaled,1,-8.270329556795969e-07,7.683093944703776e-05,4.001376435187703e-06,274,-92.89948957826422
MSFT_2024-06-03,propagator_scaled,2,-5.032714878923716e-07,4.9708500899121394e-05,2.731087638036569e-06,275,-98.77074719113024
MSFT_2024-06-03,propagator_scaled,3,-3.587480247950609e-07,1.9679750023695565e-05,1.5661308069289771e-06,274,-54.85674808924135
MSFT_2024-06-03,propagator_scaled,4,-1.8669828413257857e-07,1.116648396896004e-05,9.155196867780343e-07,272,-59.81031920481109
