q_star,a,wsse,deviance
2.894271764176921e-07,2782.2215595350867,0.5789629781389685,0.4686523214446464
3.020748135212423e-07,2723.323618255816,0.5794126701587939,0.4997090545917399
3.152751379234866e-07,2665.6727521403095,0.5798550722259457,0.5302388155746902
3.290523014282482e-07,2609.2425620730633,0.5802902452903403,0.5602469932216942
3.434315112455953e-07,2554.0072065432987,0.5807182529255603,0.5897391221952188
3.584390761118938e-07,2499.941389980348,0.5811391611091963,0.6187208679388898
3.74102454425244e-07,2447.0203513244946,0.5815530380147136,0.6471980125045766
3.904503044843876e-07,2395.219852829082,0.5819599538143152,0.6751764412148292
4.075125369229976e-07,2344.5161690897758,0.5823599804922944,0.7026621301174958
4.2532036943527966e-07,2294.886076296943,0.5827531916683881,0.7296611341914563
4.439063838930309e-07,2246.306841707022,0.5831396624306657,0.7561795762643395
4.633045859586365e-07,2198.756213328976,0.5835194691775119,0.7822236366054498
4.835504673030991e-07,2152.2124098217646,0.5838926894682787,0.8077995431586206
5.046810705429117e-07,2106.654110599006,0.584259401882194,0.832913562381087
5.267350570146113e-07,2062.055737721924,0.5848054752113281,0.8702817789479377
5.497527775109904e-07,2018.397011443872,0.585521591499555,0.9192333172295752
5.737763461084086e-07,1975.6624946281026,0.5862283345450363,0.9674854649259345
5.988497172202743e-07,1933.8326597325267,0.5869256602450366,1.015037672750123
6.250187660176644e-07,1892.888388357429,0.5876135355982688,1.0618901190073018
6.5233137236425e-07,1852.8109629364874,0.5882919380440914,1.1080436601749832
6.808375084190659e-07,1813.5820585779616,0.5889608548334473,1.1534997841538066
7.105893300674318e-07,1775.1837350546064,0.5896202824301541,1.1982605660580106
7.416412723473013e-07,1737.5984289408038,0.5902702259411808,1.2423286264181335
7.740501490456201e-07,1700.8089458953666,0.5909106985746397,1.2857070916767608
8.078752566469516e-07,1664.7984530883127,0.5915417211242506,1.3283995568619096
8.431784828245179e-07,1629.5504717699532,0.5921633214790917,1.3704100503282188
8.800244196721893e-07,1595.0474316796078,0.5929794791373157,1.42550267118845
9.184804818845815e-07,1561.2728098579519,0.5940282696663716,1.496187352263837
9.586170301014823e-07,1528.2127669915055,0.5950660825156142,1.5660094390210126
1.0005074996422877e-06,1495.8522551336498,0.5960926793767976,1.6349572332667632
1.0442285348659934e-06,1464.1765374106806,0.5971078467111354,1.7030207352237492
1.0898601294025654e-06,1433.1711820141804,0.5981113944013088,1.7701915364614278
1.1374857725122455e-06,1402.822056279963,0.5991031544660723,1.836462718518825
1.1871926018406158e-06,1373.1153208544442,0.6000829798347559,1.901828756948061
1.2390715628488603e-06,1344.0374239491587,0.6010507431790708,1.9662854305180715
1.293217575210962e-06,1315.579586555464,0.6022532362149112,2.046231542670861
1.349729706482273e-06,1287.7264970560436,0.6036340636128791,2.1378373172187217
1.4087113533571755e-06,1260.461813189467,0.6050056849398757,2.2286251250806752
1.4702704308475353e-06,1233.7732263867506,0.6063674554966336,2.318557522287454
1.5345195697279967e-06,1207.6486762535314,0.6077187793388079,2.4076005811036842
1.6015763226094397e-06,1182.0841924010426,0.6091736078390193,2.503242838950862
1.6715633790176077e-06,1157.066185472174,0.610729454446991,2.605273729742543
1.7446087898704174e-06,1132.5757010285454,0.6122808108841034,2.706751685448867
1.8208462017646662e-06,1108.601784371598,0.6138265805886639,2.807608790414336
1.9004151015008164e-06,1085.1336958642062,0.6153657398889423,2.907782543801536
1.9834610712932357e-06,1062.1609075747353,0.6168973344159061,3.00721555271568
2.0701360551328024e-06,1039.67645501007,0.6186367107834474,3.1198390792550117
