q,impact,n,symbol
0.0032567098416403355,0.09080292184179477,953,ENPH
0.00726695410492478,0.11287523832174694,954,ENPH
0.00025330691584611603,0.023445788781460936,436,EPAM
0.0006352660715833069,0.028459491649305446,433,EPAM
0.001073383792442238,0.031802440287264214,434,EPAM
0.0015063458175782849,0.03249836044081963,434,EPAM
0.0020189190134518196,0.040360746873892475,434,EPAM
0.0025757685322335172,0.047933176309454054,435,EPAM
0.0031514999144252576,0.04967493954153958,434,EPAM
0.003901477631003438,0.04367098778059406,434,EPAM
0.004922039007879853,0.059371958495021526,434,EPAM
0.006271885204198294,0.06693321650638484,434,EPAM
0.008438022474674673,0.06782321138552412,434,EPAM
0.017492827847166867,0.07896405803015505,435,EPAM
0.0003083327272462583,0.02395234903233315,952,EQT
0.0005166804161763841,0.030701600580524454,951,EQT
0.0006704810567865451,0.03412246002050103,951,EQT
0.0008164164574830928,0.03988638797598707,951,EQT
0.000965816856988736,0.04362781353149445,951,EQT
0.0011271720648962772,0.04631263333972608,951,EQT
0.0013124912627122088,0.04965767573262766,951,EQT
0.0015335534473162424,0.05156407453804922,951,EQT
0.0018155069061341303,0.06174889140906888,951,EQT
0.002220002105641582,0.06908270367234154,951,EQT
0.0029179924032424814,0.07812460224308651,951,EQT
0.0058770649948820825,0.0906150595152437,951,EQT
0.00027996862053997456,0.020494688166573224,1082,ETSY
0.0004986387326729541,0.02864163427918839,1082,ETSY
0.0006609665988404005,0.032458111598429755,1081,ETSY
0.0008185483662591668,0.037181939946541905,1082,ETSY
0.0009795119362427391,0.04342121794523638,1081,ETSY
0.0011561264451301538,0.04632462941743577,1082,ETSY
0.001361188971327988,0.052239090288202256,1082,ETSY
0.001603998197428623,0.053946780419067294,1081,ETSY
0.0019113245052666617,0.06175541442827069,1082,ETSY
0.002346171764864186,0.07337603770872256,1081,ETSY
0.00307809181111442,0.0849126755592285,1082,ETSY
0.00672618543259006,0.108675895516712,1082,ETSY
0.00028368041758128473,0.02605887604841067,562,EXR
