session,schedule,benchmark,pricing,saving_per_share,saving_pct
INTC_2024-10-01,kkt_ac_medium,vwap,model,-0.001372135874166367,-30.54604433178476
INTC_2024-10-01,kkt_ac_high,twap,model,-0.007679181547943719,-153.18066753211383
INTC_2024-10-01,kkt_ac_high,vwap,model,-0.008200309996999864,-182.55264468973783
INTC_2024-10-01,kkt_risk_neutral,twap,realised_bucket,3.0988037180257e-05,8.811977593194703
INTC_2024-10-01,kkt_risk_neutral,vwap,realised_bucket,-1.0199850470091882e-05,-3.2852906646687448
INTC_2024-10-01,kkt_ac_low,twap,realised_bucket,1.7893718818508513e-05,5.088384539182218
INTC_2024-10-01,kkt_ac_low,vwap,realised_bucket,-2.3294168831840365e-05,-7.502866402684963
INTC_2024-10-01,kkt_ac_medium,twap,realised_bucket,-0.00014316665905016038,-40.711884534795054
INTC_2024-10-01,kkt_ac_medium,vwap,realised_bucket,-0.00018435454670050926,-59.37913237457151
INTC_2024-10-01,kkt_ac_high,twap,realised_bucket,-0.000816990788760741,-232.32528354499706
INTC_2024-10-01,kkt_ac_high,vwap,realised_bucket,-0.0008581786764110899,-276.4125221735468
INTC_2024-12-02,kkt_risk_neutral,twap,model,0.0006884952184951654,11.000662967459926
INTC_2024-12-02,kkt_risk_neutral,vwap,model,0.00019760371056157158,3.4259932637204997
INTC_2024-12-02,kkt_ac_low,twap,model,0.0006394134239774713,10.2164421554296
INTC_2024-12-02,kkt_ac_low,vwap,model,0.00014852191604387745,2.575027981180734
INTC_2024-12-02,kkt_ac_medium,twap,model,-0.001094641552145355,-17.490002053533242
INTC_2024-12-02,kkt_ac_medium,vwap,model,-0.0015855330600789488,-27.489491810651284
INTC_2024-12-02,kkt_ac_high,twap,model,-0.009619420604055802,-153.6975147608824
INTC_2024-12-02,kkt_ac_high,vwap,model,-0.010110312111989397,-175.28952817409063
INTC_2024-12-02,kkt_risk_neutral,twap,realised_bucket,9.30381057730271e-06,3.5206091324364226
INTC_2024-12-02,kkt_risk_neutral,vwap,realised_bucket,-5.324959976054397e-06,-2.133070126610236
INTC_2024-12-02,kkt_ac_low,twap,realised_bucket,4.250537040799602e-06,1.608424784582916
INTC_2024-12-02,kkt_ac_low,vwap,realised_bucket,-1.0378233512557504e-05,-4.157308218685377
INTC_2024-12-02,kkt_ac_medium,twap,realised_bucket,-8.576770652280363e-05,-32.45493535615917
INTC_2024-12-02,kkt_ac_medium,vwap,realised_bucket,-0.00010039647707616074,-40.21677665768058
INTC_2024-12-02,kkt_ac_high,twap,realised_bucket,-0.0005035568834012901,-190.54847985928893
INTC_2024-12-02,kkt_ac_high,vwap,realised_bucket,-0.0005181856539546472,-207.57458149153152
AAPL_2024-04-01,kkt_risk_neutral,twap,model,0.00010428709405596289,9.749170921227888
AAPL_2024-04-01,kkt_risk_neutral,vwap,model,5.052042493699257e-05,4.97279840149891
AAPL_2024-04-01,kkt_ac_low,twap,model,9.745796869043983e-05,9.110757213053706
AAPL_2024-04-01,kkt_ac_low,vwap,model,4.369129957146952e-05,4.300597727342619
AAPL_2024-04-01,kkt_ac_medium,twap,model,-0.00015481587164633344,-14.472801334257559
AAPL_2024-04-01,kkt_ac_medium,vwap,model,-0.00020858254076530375,-20.531080777564604
AAPL_2024-04-01,kkt_ac_high,twap,model,-0.0014285780354971731,-133.54913729689417
AAPL_2024-04-01,kkt_ac_high,vwap,model,-0.0014823447046161434,-145.90933046938744
AAPL_2024-04-01,kkt_risk_neutral,twap,realised_bucket,-5.659208850478518e-06,-6.480323636942142
AAPL_2024-04-01,kkt_risk_neutral,vwap,realised_bucket,-6.759837926747418e-07,-0.732278957430705
AAPL_2024-04-01,kkt_ac_low,twap,realised_bucket,-6.818045241422209e-06,-7.807299730949727
AAPL_2024-04-01,kkt_ac_low,vwap,realised_bucket,-1.834820183618433e-06,-1.9876219307219563
AAPL_2024-04-01,kkt_ac_medium,twap,realised_bucket,-3.2900285458621015e-05,-37.6739051610753
AAPL_2024-04-01,kkt_ac_medium,vwap,realised_bucket,-2.791706040081724e-05,-30.241961577142302
AAPL_2024-04-01,kkt_ac_high,twap,realised_bucket,-0.00014995078319917,-171.70767688868787
AAPL_2024-04-01,kkt_ac_high,vwap,realised_bucket,-0.0001449675581413662,-157.04029221912631
AAPL_2024-06-03,kkt_risk_neutral,twap,model,0.00012322079445366524,8.755981238226731
AAPL_2024-06-03,kkt_risk_neutral,vwap,model,7.992165441424192e-05,5.8594596102709815
